class,code,name,prof,time,grade,score,number
전공일반,BUS2014-01,생산운영관리,조남형,화09:00-10:15【33303】 목10:30-11:45【33303】,3,4.48,36
전공핵심/전공일반,BUS2015-01,경영정보시스템,강윤정,월16:30-17:45【33304】 수15:00-16:15【33304】,3,3.28,38
전공핵심/전공일반,BUS2015-02,경영정보시스템,강윤정,월12:00-13:15【33304】 수13:30-14:45【33304】,3,3.28,43
전공핵심/전공일반,BUS2015-03,경영정보시스템,권건우,화10:30-11:45【미지정】 목09:00-10:15【미지정】,3,4.23,325
전공일반,BUS2017-01,경영정보처리,변종복,화12:00-13:15【33205】 목13:30-14:45【33205】,3,3.98,5
전공일반,BUS2017-03,경영정보처리,김종욱,금12:00-13:15【33204】 금13:30-14:45【33204】,3,4.52,35
전공일반,BUS2017-04,경영정보처리,김종욱,금15:00-16:15【33204】 금16:30-17:45【33204】,3,4.52,30
전공일반,BUS2017-05,경영정보처리,문준서,수18:00-19:15【33204】 수19:30-20:45【33204】,3,4.07,30
전공일반,BUS2018-01,국제경영,양백,목10:30-11:45【33503】【1.5h(ON)+1.5h(OFF)】,3,4.4,67
전공일반,BUS2018-02,국제경영,이명창,금12:00-13:15【33301】 금13:30-14:45【33301】,3,4,47
전공일반,BUS2018-03,국제경영,이후석,목18:00-19:15【33301】 목19:30-20:45【33301】,3,4.67,45
전공일반,BUS2023-01,고급회계,최희익,월10:30-11:45【33302】 수09:00-10:15【33302】,3,4.62,64
전공핵심/전공일반,BUS2028-01,조직행동,신지선,수09:00-10:15【미지정】 수10:30-11:45【미지정】,3,4.62,115
전공핵심/전공일반,BUS2028-02,조직행동,조성희,금12:00-13:15【33304】【1.5h(ON)+1.5h(OFF)】,3,4.55,48
전공핵심/전공일반,BUS2028-04,조직행동,김경신,월13:30-14:45【33503】 수12:00-13:15【33503】,3,3.73,34
전공핵심/전공일반,BUS2028-05,조직행동,문지영,월12:00-13:15【33406】 수13:30-14:45【33406】,3,4.18,58
전공일반,BUS2030-02,중급회계2,정재호,목18:00-19:15【33302】 목19:30-20:45【33302】,3,4.5,74
